,Average Distance,Penalties,Score
74,179.57386012336056,130.64938982902234,310.2232499523829
75,179.59600382611123,130.75223414194554,310.34823796805676
76,178.56259276447545,129.77917604364555,308.341768808121
77,178.89406957128807,130.4313397876175,309.3254093589056
78,177.5610749690912,129.1822286083102,306.74330357740143
79,179.08246345325173,130.60375463977786,309.6862180930296
80,177.84715973074577,129.23311868089044,307.0802784116362
81,180.0613657002631,131.29159898679916,311.35296468706224
82,177.4796785901077,129.13545102537873,306.61512961548647
83,177.6760375499551,129.11489245457645,306.79093000453156
84,177.99476290800553,129.64855695357787,307.6433198615834
85,177.42872825334493,129.15087967752936,306.5796079308743
86,177.7705920179714,129.31240351697596,307.0829955349474
87,179.18609881425937,130.74667294071799,309.93277175497735
88,178.21162182204816,129.54123097082174,307.75285279286993
89,177.41427665433986,129.02315557016902,306.4374322245089
90,181.39437962035578,132.4032924253495,313.79767204570527
91,176.75970669341888,128.25202274830727,305.0117294417262
92,179.6833108867544,130.813448657996,310.4967595447504
93,179.24884496955454,130.2599000584539,309.50874502800843
94,178.60192984731816,130.19880509523114,308.8007349425493
95,178.81672250102662,130.30904880900187,309.1257713100285
96,181.9172873449854,133.031390959131,314.94867830411636
97,179.62864089922104,130.45820460811532,310.08684550733636
98,178.84557850817765,130.5311815334405,309.3767600416181
99,179.89526821335863,131.43716042184226,311.3324286352009
100,177.5785659376551,129.15902504749377,306.73759098514887
101,177.96302737821054,129.5121337522529,307.47516113046345
102,179.18289093533704,130.77148772468215,309.9543786600192
103,178.46671822029202,129.67497647230743,308.14169469259946
104,179.46565402076084,130.57338162599248,310.0390356467533
105,177.99843312609448,129.5822277607287,307.5806608868232
106,179.96355668986314,131.22403667981877,311.1875933696819
107,179.90486509271096,131.14014657801158,311.04501167072254
108,178.1407120079494,129.52296342734667,307.66367543529606
109,179.31455269724947,130.769473866238,310.08402656348744
110,179.47946056346333,130.74593391787226,310.22539448133557
111,178.3255627531567,129.8581603585172,308.1837231116739
112,179.05366518408474,130.2977825612548,309.35144774533956
113,178.20912057622573,129.78562295776706,307.9947435339928
114,177.36036885902004,129.02418701836424,306.3845558773843
115,178.10132505259995,129.54437259973693,307.6456976523369
116,179.63464135041568,131.02516342247552,310.6598047728912
117,177.30448731044928,128.789642023479,306.09412933392827
118,177.77254180311627,129.05983682108237,306.83237862419867
119,180.82354387621479,132.1232375079156,312.9467813841304
120,176.29519936628972,127.73317749037948,304.0283768566692
121,178.35775643564705,129.90164739149495,308.259403827142
122,178.69805678781643,129.96760818354522,308.66566497136165
123,180.74889536785852,132.14197930245018,312.8908746703087
124,180.76634129619032,131.97787772419503,312.74421902038534
125,178.48188417951553,129.95762298212284,308.4395071616384
126,178.20012036196854,129.92988947829897,308.1300098402675
127,180.1048200456502,131.57136300355594,311.67618304920614
128,179.47031235672088,130.9470473038141,310.417359660535
129,177.83094617479313,129.24863932485752,307.07958549965065
130,179.5866142364139,130.50215584782504,310.08877008423894
131,179.5530847131752,131.07429263480927,310.62737734798446
132,179.34561378973854,130.59683170636657,309.9424454961051
133,180.60946604029127,131.71825879000437,312.32772483029567
134,178.48929918236098,129.95801403380582,308.4473132161668
135,180.20191466529334,131.3316956159579,311.53361028125124
136,179.09214179699737,130.35681592381508,309.4489577208125
137,177.50979432937314,129.0754300306883,306.58522436006143
138,179.00654893531458,130.4957704905256,309.50231942584014
139,177.21364300106796,128.70860738467533,305.92225038574327
140,180.3424193334444,131.2782781090165,311.62069744246094
141,177.48326707428663,129.21025933070288,306.6935264049895
142,177.68393528127484,129.44422576842513,307.1281610497
143,179.9688587768489,131.0805946124994,311.0494533893483
144,179.58850776013668,130.99357301378535,310.58208077392203
145,176.72938338439081,128.60458958546448,305.33397296985527
146,177.66555281982906,129.43926582395633,307.1048186437854
147,178.62198088997118,129.94749599103704,308.5694768810082
148,180.30014706094605,131.42082955818597,311.720976619132
149,179.98894837749165,131.24541964537968,311.2343680228713
150,180.2209075761056,131.31692210531443,311.53782968142
151,179.09536875176525,130.29203691363435,309.38740566539957
152,177.24643198871127,128.59886348092942,305.8452954696407
153,179.51606572364523,131.06238861610404,310.57845433974927
154,178.61706768662168,129.96748354522867,308.58455123185036
155,179.26217669215885,130.59481664474643,309.85699333690525
156,179.7714708218055,131.09256154707975,310.86403236888526
157,178.17485235637227,129.66727124555504,307.8421236019273
158,179.49224409007923,130.77433183788787,310.2665759279671
159,179.62136968397502,130.69608104145354,310.31745072542856
160,178.03977207032295,129.68611347849384,307.7258855488168
161,182.7457249977236,133.93687478201565,316.68259977973923
162,179.61787092753337,130.86443705002677,310.48230797756014
163,179.12358288061716,130.65372319158263,309.7773060721998
164,178.34689634119545,130.0917188026694,308.4386151438648
165,176.80555129185413,128.59660999561595,305.4021612874701
166,179.1272143812186,130.81005870719468,309.9372730884133
167,179.7316669962464,131.04182658677968,310.77349358302604
168,177.59061724147347,129.08342044912075,306.6740376905942
169,178.54250422356156,129.61990417458227,308.16240839814384
170,179.62639751113866,131.0284324078133,310.654829918952
