,s1_afv_nodes,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,uses_container,aantal_per_fractie,volume_per_fractie,street_name,totaal,glas,papier,plastic,rest,textiel
2805,724484,123608,484908,241152.0,123607.847~484907.926~afval_cluster~123607.847|484907.926,100498.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ee1fa20b-90d4-0d29-ccaf-64058b61c46b,False,357.0,afval_cluster,123607.847|484907.926,True,['Rest:3'],['Rest:15 m3'],Morsestraat,3,0.0,2.0,1.0,0.0,0.0
2806,724550,119163,484800,241220.0,119163.101~484799.566~afval_cluster~119163.101|484799.566,118741.0,2020-04-01 13:57:12,2020-04-01 13:57:12,16cb5504-a084-9459-81c2-3324fcdd6395,False,357.0,afval_cluster,119163.101|484799.566,True,['Rest:1'],['Rest:7 m3'],Pieter Lastmankade,1,1.0,0.0,0.0,0.0,0.0
2807,724653,126356,478863,241323.0,126356.059~478862.826~afval_cluster~126356.059|478862.826,42465.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0703bb7e-132e-d103-4467-333ebd46c8ce,False,357.0,afval_cluster,126356.059|478862.826,True,['Rest:2'],['Rest:10 m3'],Millingenhof,2,0.0,1.0,0.0,1.0,0.0
2808,724735,118280,487294,241404.0,118280.292~487293.561~afval_cluster~118280.292|487293.561,70351.0,2020-04-01 13:57:12,2020-04-01 13:57:12,17b94678-eb67-adc0-0c78-dee327029d4d,False,357.0,afval_cluster,118280.292|487293.561,True,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:5 m3']",Orteliusstraat,2,0.0,0.0,0.0,2.0,0.0
2809,724911,122451,485208,241580.0,122451.309~485208.215~afval_cluster~122451.309|485208.215,9771.0,2020-04-01 13:57:12,2020-04-01 13:57:12,8de6465e-5e00-610c-43c0-c9daa34ac668,False,357.0,afval_cluster,122451.309|485208.215,True,['Rest:2'],['Rest:10 m3'],Weesperzijde,2,1.0,0.0,0.0,1.0,0.0
2810,725120,117752,486515,241788.0,117751.512~486514.803~afval_cluster~117751.512|486514.803,7740.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ccd7929b-d016-d3ec-1bd9-ed1a315b4a36,False,357.0,afval_cluster,117751.512|486514.803,True,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Derkinderenstraat,5,0.0,2.0,0.0,3.0,0.0
2811,725140,121579,484240,241808.0,121579.022~484240.291~afval_cluster~121579.022|484240.291,51782.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3828cc4e-1946-a812-8aa1-044bc96fb7f9,False,357.0,afval_cluster,121579.022|484240.291,True,['Rest:2'],['Rest:8 m3'],Biesboschstraat,2,0.0,0.0,0.0,2.0,0.0
2812,725221,120135,486923,241890.0,120134.899~486923.228~afval_cluster~120134.899|486923.228,8405.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4552e094-c3da-4c41-519b-9b2137ed31be,False,357.0,afval_cluster,120134.899|486923.228,True,['Rest:2'],['Rest:6 m3'],Nassaukade,2,0.0,1.0,0.0,1.0,0.0
2813,725315,116631,488548,241984.0,116631.250~488548.464~afval_cluster~116631.250|488548.464,8859.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1aa48614-0620-f869-f4f6-1c844dcf0986,False,357.0,afval_cluster,116631.250|488548.464,False,['Rest:2'],['Rest:10 m3'],Maurits Kannstraat,2,0.0,0.0,1.0,1.0,0.0
2814,725404,119325,484647,242073.0,119324.620~484647.322~afval_cluster~119324.620|484647.322,84954.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d34798dc-f1c5-c1bf-fbb1-738303b95844,False,357.0,afval_cluster,119324.620|484647.322,True,['Rest:1'],['Rest:7 m3'],Herculesstraat,1,0.0,0.0,0.0,1.0,0.0
2815,725425,114885,488348,242094.0,114884.777~488348.117~afval_cluster~114884.777|488348.117,69391.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0a6c20d6-82d5-6c3d-dd0d-c70df1e64f72,False,357.0,afval_cluster,114884.777|488348.117,False,['Rest:1'],['Rest:5 m3'],Aalbersestraat,1,0.0,0.0,1.0,0.0,0.0
2816,725504,115939,487896,242171.0,115938.882~487896.125~afval_cluster~115938.882|487896.125,99777.0,2020-04-01 13:57:12,2020-04-01 13:57:12,057b9654-e6aa-66db-d6e2-189e268a08b5,False,357.0,afval_cluster,115938.882|487896.125,False,['Rest:1'],['Rest:5 m3'],Oltmansstraat,1,0.0,0.0,0.0,1.0,0.0
2817,725606,116386,484256,242273.0,116385.534~484255.691~afval_cluster~116385.534|484255.691,73223.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ada46508-2782-9339-b386-bfdbb5e9e050,False,357.0,afval_cluster,116385.534|484255.691,True,['Rest:2'],['Rest:10 m3'],Bastenakenstraat,2,0.0,0.0,0.0,2.0,0.0
2818,725608,125927,489703,242275.0,125927.236~489703.464~afval_cluster~125927.236|489703.464,81186.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9d24d00e-684b-45d4-0643-fdee73bf03dd,False,357.0,afval_cluster,125927.236|489703.464,True,['Rest:1'],['Rest:5 m3'],Eierlandstraat,1,0.0,0.0,1.0,0.0,0.0
2819,725750,120532,492335,242417.0,120531.941~492334.880~afval_cluster~120531.941|492334.880,93517.0,2020-04-01 13:57:12,2020-04-01 13:57:12,8749608c-9c40-0fc9-95ef-9c7130d950aa,False,357.0,afval_cluster,120531.941|492334.880,True,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3', 'Plastic:4 m3']",Virgohof,4,1.0,0.0,0.0,2.0,1.0
2820,725793,122749,491217,242460.0,122748.909~491217.170~afval_cluster~122748.909|491217.170,122444.0,2020-04-01 13:57:12,2020-04-01 13:57:12,5e9fb106-8666-cdac-a781-4d67027dae0e,False,357.0,afval_cluster,122748.909|491217.170,True,['Rest:1'],['Rest:5 m3'],Banne Buikslootlaan,1,0.0,0.0,0.0,1.0,0.0
2821,725795,121615,483918,242462.0,121615.208~483917.804~afval_cluster~121615.208|483917.804,63296.0,2020-04-01 13:57:12,2020-04-01 13:57:12,532d0305-bbb7-bdad-d5f6-a1bbf8718cda,False,357.0,afval_cluster,121615.208|483917.804,True,['Rest:2'],['Rest:8 m3'],Maasstraat,2,0.0,0.0,2.0,0.0,0.0
2822,725834,122688,486001,242501.0,122688.060~486000.843~afval_cluster~122688.060|486000.843,31866.0,2020-04-01 13:57:12,2020-04-01 13:57:12,8bf716c0-2cd9-1659-75d8-10ef3e5aaa60,False,357.0,afval_cluster,122688.060|486000.843,True,['Rest:2'],['Rest:6 m3'],Mauritskade,2,0.0,0.0,0.0,1.0,1.0
2823,725958,121172,484248,242625.0,121172.462~484247.514~afval_cluster~121172.462|484247.514,119915.0,2020-04-01 13:57:12,2020-04-01 13:57:12,37981c9c-e181-f96f-a3d9-d101ad8f28ef,False,357.0,afval_cluster,121172.462|484247.514,True,"['Rest:2', 'Papier:1']","['Rest:8 m3', 'Papier:4 m3']",Scheldestraat,3,0.0,0.0,0.0,3.0,0.0
2824,726050,123469,485669,242717.0,123469.364~485669.189~afval_cluster~123469.364|485669.189,31907.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7eef1c17-64a1-4e44-fb0d-427ba66900d0,False,357.0,afval_cluster,123469.364|485669.189,True,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3']",Vrolikstraat,3,0.0,1.0,0.0,2.0,0.0
2825,726187,119174,482315,242853.0,119173.623~482314.994~afval_cluster~119173.623|482314.994,47368.0,2020-04-01 13:57:12,2020-04-01 13:57:12,40545583-ec91-af03-c18f-a26f3d189339,False,357.0,afval_cluster,119173.623|482314.994,True,['Rest:2'],['Rest:8 m3'],Van der Boechorststraat,2,1.0,0.0,1.0,0.0,0.0
2826,726238,125593,480394,242904.0,125593.241~480393.845~afval_cluster~125593.241|480393.845,81535.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ead92b6c-7975-706e-97bd-22968d18a727,False,357.0,afval_cluster,125593.241|480393.845,True,['Rest:2'],['Rest:10 m3'],Haag en Veld,2,0.0,0.0,0.0,2.0,0.0
2827,726246,123696,489562,242912.0,123695.643~489562.320~afval_cluster~123695.643|489562.320,104403.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f6b8bfba-51ba-8420-a21f-d1bd75290f61,False,357.0,afval_cluster,123695.643|489562.320,True,['Rest:1'],['Rest:3 m3'],Waddenweg,1,0.0,0.0,0.0,1.0,0.0
2828,726287,123020,485593,242953.0,123020.035~485593.060~afval_cluster~123020.035|485593.060,52879.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e39d1544-16e4-b693-9f16-4d2334a02357,False,357.0,afval_cluster,123020.035|485593.060,True,"['Glas:2', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Glas:9.38 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3', 'Textiel:4.69 m3']",Beukenplein,5,1.0,0.0,1.0,3.0,0.0
2829,726289,124550,489990,242955.0,124549.715~489989.847~afval_cluster~124549.715|489989.847,68681.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d43745c8-52ec-f818-d727-13f7b133dd90,False,357.0,afval_cluster,124549.715|489989.847,True,"['Plastic:2', 'Textiel:1']","['Plastic:8 m3', 'Textiel:3 m3']",Buikslotermeerplein,3,0.0,1.0,1.0,1.0,0.0
2830,726311,120102,489234,242977.0,120102.183~489234.272~afval_cluster~120102.183|489234.272,69308.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f278b6bf-e55a-da25-6843-fc287504f7d8,False,357.0,afval_cluster,120102.183|489234.272,True,"['Rest:2', 'Glas:2', 'Papier:2']","['Rest:10 m3', 'Glas:8 m3', 'Papier:10 m3']",Oostzaanstraat,6,1.0,0.0,0.0,5.0,0.0
2831,726319,121518,485414,242985.0,121517.797~485413.522~afval_cluster~121517.797|485413.522,115745.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0a1e1e19-4f51-a6a2-7943-7570a7030e09,False,357.0,afval_cluster,121517.797|485413.522,True,['Rest:1'],['Rest:5 m3'],Govert Flinckstraat,1,0.0,0.0,0.0,1.0,0.0
