,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal
427,124090,489539,93540.0,124090.117~489538.642~afval_cluster~124090.117|489538.642,576796.0,24273.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dbf602c3-0c5c-3983-4973-f3e2ae31e3bb,False,357.0,afval_cluster,124090.117|489538.642,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Tiengemetenstraat,N63a,N63,N,1,0,1,1,0,3
428,124122,491276,387080.0,124122.353~491275.929~afval_cluster~124122.353|491275.929,870506.0,107121.0,2020-04-01 13:57:12,2020-04-01 13:57:12,edf619ab-1505-61b7-9ecf-a4a76f84c736,False,357.0,afval_cluster,124122.353|491275.929,['Rest:1'],['Rest:5 m3'],G.J. Scheurleerweg,N74c,N74,N,1,0,0,0,0,1
429,124137,490862,159475.0,124137.407~490862.214~afval_cluster~124137.407|490862.214,642764.0,122102.0,2020-04-01 13:57:12,2020-04-01 13:57:12,bb99cca4-3faa-a4cb-f66b-26940353c29f,False,357.0,afval_cluster,124137.407|490862.214,"['Rest:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Gerrit Bronkepad,N74c,N74,N,1,1,1,0,0,3
430,124155,490214,39103.0,124154.890~490213.753~afval_cluster~124154.890|490213.753,522328.0,13403.0,2020-04-01 13:57:12,2020-04-01 13:57:12,23ef21c7-58a6-3f33-6817-b12edacf9ee5,False,357.0,afval_cluster,124154.890|490213.753,['Rest:1'],['Rest:5 m3'],Bovenover,N69k,N69,N,1,0,0,0,0,1
431,124190,489853,432640.0,124190.062~489853.328~afval_cluster~124190.062|489853.328,916089.0,55900.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3042b657-0a2d-f27d-0493-696043694ac1,False,357.0,afval_cluster,124190.062|489853.328,['Rest:1'],['Rest:5 m3'],Het Hoogt,N69k,N69,N,1,0,0,0,0,1
432,124193,491220,217149.0,124193.341~491219.594~afval_cluster~124193.341|491219.594,700467.0,825.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3d845eff-220b-43d0-91e4-f3547a77f90b,False,357.0,afval_cluster,124193.341|491219.594,['Rest:1'],['Rest:5 m3'],H. Stolleplantsoen,N74c,N74,N,1,0,0,0,0,1
433,124204,491057,319958.0,124203.634~491056.789~afval_cluster~124203.634|491056.789,803333.0,103340.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ffdb1a48-99a9-4c7d-00e4-6f5eb9db9f22,False,357.0,afval_cluster,124203.634|491056.789,['Rest:1'],['Rest:5 m3'],B. Merkelbachsingel,N74c,N74,N,1,0,0,0,0,1
434,124227,490199,359481.0,124226.617~490198.982~afval_cluster~124226.617|490198.982,842891.0,92032.0,2020-04-01 13:57:12,2020-04-01 13:57:12,58564386-f204-26f0-64d7-95e50765d7a7,False,357.0,afval_cluster,124226.617|490198.982,"['Glas:1', 'Papier:1']","['Glas:4 m3', 'Papier:4 m3']",Buikslotermeerplein,N69j,N69,N,0,0,1,1,0,2
435,124241,490210,35830.0,124241.195~490210.368~afval_cluster~124241.195|490210.368,519053.0,101358.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9fcb052d-0236-8075-8c8d-472de839c4f5,False,357.0,afval_cluster,124241.195|490210.368,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",Buikslotermeerplein,N69j,N69,N,0,1,0,0,1,2
436,124248,490941,33651.0,124248.257~490941.452~afval_cluster~124248.257|490941.452,516874.0,24313.0,2020-04-01 13:57:12,2020-04-01 13:57:12,22015498-9ab2-3668-63fc-ec22d4cd8828,False,357.0,afval_cluster,124248.257|490941.452,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3']",Jouke Zietsmastraat,N74c,N74,N,1,0,1,1,0,3
437,124249,490146,364896.0,124249.215~490146.242~afval_cluster~124249.215|490146.242,848311.0,162000.0,2020-04-01 13:57:12,2020-04-01 13:57:12,837f400b-941a-702a-d619-56179fcf8f7e,False,357.0,afval_cluster,124249.215|490146.242,['Rest:1'],['Rest:5 m3'],Benedenlangs,N69k,N69,N,1,0,0,0,0,1
438,124281,489795,239819.0,124280.974~489794.945~afval_cluster~124280.974|489794.945,723147.0,792.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2de54023-2621-ee03-960e-99563fbdd3d7,False,357.0,afval_cluster,124280.974|489794.945,['Rest:1'],['Rest:5 m3'],Het Hoogt,N69k,N69,N,1,0,0,0,0,1
439,124293,491140,423520.0,124293.450~491140.032~afval_cluster~124293.450|491140.032,906965.0,67273.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4fdd3a38-2de8-0fa4-4c38-12567f7bfa38,False,357.0,afval_cluster,124293.450|491140.032,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",H. Stolleplantsoen,N74c,N74,N,2,1,1,1,0,5
440,124310,490332,174430.0,124310.433~490331.988~afval_cluster~124310.433|490331.988,657728.0,54452.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f3c6a15e-1f25-b1c4-faef-03abb44d2e29,False,357.0,afval_cluster,124310.433|490331.988,"['Rest:1', 'Textiel:1']","['Rest:5 m3', 'Textiel:3 m3']",Buikslotermeerplein,N69j,N69,N,1,0,0,0,1,2
441,124333,489760,88191.0,124333.094~489759.926~afval_cluster~124333.094|489759.926,571444.0,164381.0,2020-04-01 13:57:12,2020-04-01 13:57:12,783e2eed-6db1-abe3-3f46-463d4a17e4d1,False,357.0,afval_cluster,124333.094|489759.926,['Rest:1'],['Rest:5 m3'],Het Laagt,N69k,N69,N,1,0,0,0,0,1
442,124338,489572,44619.0,124338.431~489572.464~afval_cluster~124338.431|489572.464,527850.0,23370.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c6db7bb3-8c3c-4327-894e-d43c92cb05c3,False,357.0,afval_cluster,124338.431|489572.464,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Grote Diestraat,N62a,N62,N,1,0,1,1,0,3
443,124343,490569,318168.0,124343.375~490569.183~afval_cluster~124343.375|490569.183,801543.0,11608.0,2020-04-01 13:57:12,2020-04-01 13:57:12,6225ae23-1bb9-27c1-3ff7-2fea77583ed7,False,357.0,afval_cluster,124343.375|490569.183,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:14 m3', 'Glas:5 m3', 'Papier:5 m3']",H. Cleyndertweg,N69m,N69,N,2,0,1,1,0,4
444,124345,489977,108241.0,124344.871~489976.608~afval_cluster~124344.871|489976.608,591505.0,134154.0,2020-04-01 13:57:12,2020-04-01 13:57:12,03620f6e-1eff-f1a5-eb43-7273aecaed01,False,357.0,afval_cluster,124344.871|489976.608,['Rest:1'],['Rest:5 m3'],Het Laagt,N69k,N69,N,1,0,0,0,0,1
445,124346,489868,178936.0,124345.727~489868.239~afval_cluster~124345.727|489868.239,662235.0,155257.0,2020-04-01 13:57:12,2020-04-01 13:57:12,52a2d6fc-013d-6504-afd1-990867c1eba5,False,357.0,afval_cluster,124345.727|489868.239,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Het Laagt,N69k,N69,N,1,0,1,1,0,3
446,124353,490689,305652.0,124353.122~490689.030~afval_cluster~124353.122|490689.030,789019.0,42837.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2708b85c-9d46-1d66-b42d-4765e0aacd1e,False,357.0,afval_cluster,124353.122|490689.030,['Rest:1'],['Rest:5 m3'],H. Cleyndertweg,N69m,N69,N,1,0,0,0,0,1
447,124387,490448,138034.0,124386.985~490447.855~afval_cluster~124386.985|490447.855,621313.0,107332.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c1cb6bc6-5c1e-e3f6-7db5-7b0c641452d3,False,357.0,afval_cluster,124386.985|490447.855,['Rest:1'],['Rest:5 m3'],Dijkwater,N69l,N69,N,1,0,0,0,0,1
448,124389,490568,63811.0,124388.773~490568.154~afval_cluster~124388.773|490568.154,547051.0,65981.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f58ea3bb-4669-8e31-b1d5-447bbc01bd2c,False,357.0,afval_cluster,124388.773|490568.154,['Rest:1'],['Rest:5 m3'],H. Cleyndertweg,N69l,N69,N,1,0,0,0,0,1
449,124416,490769,413211.0,124416.165~490768.727~afval_cluster~124416.165|490768.727,896652.0,83781.0,2020-04-01 13:57:12,2020-04-01 13:57:12,06089d99-aa55-4566-0fd4-5bbe19840cd2,False,357.0,afval_cluster,124416.165|490768.727,['Rest:1'],['Rest:5 m3'],H. Cleyndertweg,N69m,N69,N,1,0,0,0,0,1
450,124424,490066,368582.0,124424.157~490065.584~afval_cluster~124424.157|490065.584,852000.0,841.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9d6c3c93-f991-8d99-5076-783591dbdc28,False,357.0,afval_cluster,124424.157|490065.584,['Rest:1'],['Rest:5 m3'],Buikslotermeerplein,N69j,N69,N,1,0,0,0,0,1
451,124434,490416,267378.0,124434.475~490415.826~afval_cluster~124434.475|490415.826,750722.0,13242.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dd635f4d-ca74-7a8f-d106-ef6de5816b87,False,357.0,afval_cluster,124434.475|490415.826,['Rest:1'],['Rest:5 m3'],Dijkwater,N69l,N69,N,1,0,0,0,0,1
452,124441,489459,311126.0,124440.558~489458.704~afval_cluster~124440.558|489458.704,794494.0,93908.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d77be270-3378-14ad-fd5b-b9ebf2c43cad,False,357.0,afval_cluster,124440.558|489458.704,['Rest:1'],['Rest:5 m3'],Medemblikstraat,N62a,N62,N,1,0,0,0,0,1
453,124447,490643,164635.0,124446.650~490642.776~afval_cluster~124446.650|490642.776,647928.0,136739.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c294bde4-1d51-74da-96d3-6c307b8173c7,False,357.0,afval_cluster,124446.650|490642.776,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:4 m3']",H. Cleyndertweg,N69l,N69,N,1,1,0,0,0,2
454,124469,489432,253786.0,124469.028~489431.579~afval_cluster~124469.028|489431.579,737126.0,73491.0,2020-04-01 13:57:12,2020-04-01 13:57:12,cc41b5f7-4a04-7d54-b15c-26d57aff0dd2,False,357.0,afval_cluster,124469.028|489431.579,['Rest:1'],['Rest:5 m3'],Kleine Diestraat,N62a,N62,N,1,0,0,0,0,1
