,distance,penalties,simple penalties
73,138.0157524242983,81.86158361483054,251571.367
74,134.8369720729548,78.87411389798937,252025.47500000003
75,136.5786642398484,80.10656331976062,250735.17900000003
76,136.6085180471702,80.2934498559038,250150.454
77,133.63178778321515,77.96677451319725,252201.24199999997
78,135.33137376766985,79.56795197456121,252263.03199999998
79,134.7020068715172,78.48389547075107,250838.01799999998
80,139.7697306032718,83.59398782921612,252206.48399999997
81,135.32927217167736,79.26489405940065,251966.7
82,136.98682948291668,80.73774525849315,251549.625
83,137.80577255082258,81.70752584485976,252857.27
84,136.58447107356488,80.3656214970577,253308.41899999997
85,135.71977452926623,79.66720237918739,252736.829
86,134.45877322614615,78.15663929128833,252907.70899999997
87,137.40951340257567,81.29174995840609,250865.903
88,136.45814798535667,80.0265879376131,251706.875
89,135.91098096079799,79.880928092501,252165.917
90,136.04479847791967,79.7667476065204,250988.015
91,135.40259985840396,79.11729320630037,252836.775
92,135.60435097486177,79.02019725995426,250981.046
93,136.63699475624668,80.67067161845617,250966.88900000002
94,135.00817906162456,79.11894590523107,251494.089
95,135.56964295954637,79.61310729045908,252901.448
96,134.84676423428667,78.86813219777794,251732.145
97,133.51294196874042,77.37642200168865,252139.748
98,133.04361806707055,76.96653453433322,251994.72499999998
99,134.33701032536666,78.4230771270202,253707.306
100,137.34272698415433,80.99569535993521,253235.25199999998
101,136.44454642636188,80.24533001610982,253305.97600000002
102,135.20063909227827,79.3885019422597,253368.805
103,135.29147992296362,79.4339325199506,252857.935
104,137.80432942845985,81.67014533431812,255230.331
105,135.14810049706114,79.07104968079844,251523.364
106,136.2262507847846,80.42840000630663,251448.97899999996
107,139.1897429721677,83.04425508076002,253659.114
108,135.0748580741682,78.61178910344694,252141.807
109,135.64830916044053,79.77916135244033,253704.27500000002
110,134.80978021078573,79.17511044131594,252667.816
111,135.31718298563035,79.31053754081182,251569.523
112,133.13865484726568,76.9311420400388,253207.305
113,137.58405287924953,81.54895411547662,251956.18899999998
114,137.40464745424293,81.3457308849682,251978.889
115,135.84931963009677,79.8142649425134,252443.55500000002
116,135.59605420049644,79.52379906577183,251746.169
117,139.11894158595865,83.1171397716534,250902.84200000003
