,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal
47,124932,482031,184327.0,124932.271~482031.499~afval_cluster~124932.271|482031.499,667628.0,141958.0,2020-04-01 13:57:12,2020-04-01 13:57:12,5fd576e4-494e-60ce-4a56-b95236c2eab5,False,357.0,afval_cluster,124932.271|482031.499,['Rest:1'],['Rest:5 m3'],Chestertonlaan,T93b,T93,T,1,0,0,0,0,1
48,124946,482120,354632.0,124946.269~482120.006~afval_cluster~124946.269|482120.006,838036.0,134438.0,2020-04-01 13:57:12,2020-04-01 13:57:12,52e73bb6-3a1d-15e4-2ee2-6b92ba0920e9,False,357.0,afval_cluster,124946.269|482120.006,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1
49,124959,481406,431219.0,124958.809~481406.088~afval_cluster~124958.809|481406.088,914668.0,105387.0,2020-04-01 13:57:12,2020-04-01 13:57:12,427cc85d-1ed5-8f3a-5cd5-a17e7422998d,False,357.0,afval_cluster,124958.809|481406.088,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Bernard Shawsingel,T93a,T93,T,1,1,1,1,0,4
50,124965,481278,172546.0,124964.860~481278.464~afval_cluster~124964.860|481278.464,655843.0,4012.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f597dd19-1fb9-8b53-1923-825b57ad714b,False,357.0,afval_cluster,124964.860|481278.464,['Rest:1'],['Rest:5 m3'],Berthold Brechtstraat,T93a,T93,T,1,0,0,0,0,1
51,124985,481831,134063.0,124984.634~481831.381~afval_cluster~124984.634|481831.381,617338.0,62983.0,2020-04-01 13:57:12,2020-04-01 13:57:12,291992e4-16c9-4799-4471-f6c67575a535,False,357.0,afval_cluster,124984.634|481831.381,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1
52,125002,481902,42954.0,125001.935~481902.335~afval_cluster~125001.935|481902.335,526181.0,153143.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9229432d-599b-f145-12c8-618772ed9c4f,False,357.0,afval_cluster,125001.935|481902.335,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Chestertonlaan,T93b,T93,T,1,1,1,1,0,4
53,125002,482001,377003.0,125001.606~482001.476~afval_cluster~125001.606|482001.476,860423.0,107045.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f4145638-56ab-1154-b5b9-dba8ea550e5a,False,357.0,afval_cluster,125001.606|482001.476,['Rest:1'],['Rest:5 m3'],Charlotte Brontéstraat,T93b,T93,T,1,0,0,0,0,1
54,125032,482083,472915.0,125031.963~482082.789~afval_cluster~125031.963|482082.789,956382.0,4034.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c64a45a9-9ae9-5fca-6b0a-a9f040c3b7b6,False,357.0,afval_cluster,125031.963|482082.789,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Daniël Defoelaan,T93b,T93,T,1,1,1,1,0,4
55,125036,481171,341068.0,125035.845~481171.079~afval_cluster~125035.845|481171.079,824456.0,43816.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f7ff8049-5329-4595-7aca-3fdba55ddd54,False,357.0,afval_cluster,125035.845|481171.079,['Glas:2'],['Glas:6 m3'],Berthold Brechtstraat,T93a,T93,T,0,0,0,2,0,2
56,125050,481077,93182.0,125049.604~481077.486~afval_cluster~125049.604|481077.486,576438.0,17096.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1e7058e9-da45-ea4c-fa3b-c941e4b1a563,False,357.0,afval_cluster,125049.604|481077.486,['Rest:1'],['Rest:5 m3'],Anna Blamansingel,T93a,T93,T,1,0,0,0,0,1
57,125051,481180,409810.0,125050.572~481179.700~afval_cluster~125050.070|481179.741,893245.0,123305.0,2020-04-01 13:57:12,2020-04-01 13:57:12,979e48a1-1f21-c538-0726-45ec094eeec5,False,357.0,afval_cluster,125050.070|481179.741,"['Rest:1', 'Papier:2']","['Rest:5 m3', 'Papier:6 m3']",Berthold Brechtstraat,T93a,T93,T,1,0,2,0,0,3
58,125063,481755,254136.0,125063.107~481754.811~afval_cluster~125063.107|481754.811,737477.0,67785.0,2020-04-01 13:57:12,2020-04-01 13:57:12,cfbfcc14-2e27-f7a4-45e0-11c8ad9b5019,False,357.0,afval_cluster,125063.107|481754.811,['Rest:1'],['Rest:5 m3'],Drostenburg,T93b,T93,T,1,0,0,0,0,1
59,125067,482187,405867.0,125067.119~482186.964~afval_cluster~125067.119|482186.964,889301.0,131636.0,2020-04-01 13:57:12,2020-04-01 13:57:12,aafbac89-f79c-fac4-eb48-cea444d19dcb,False,357.0,afval_cluster,125067.119|482186.964,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1
60,125081,481884,181229.0,125080.811~481884.177~afval_cluster~125080.811|481884.177,664528.0,92600.0,2020-04-01 13:57:12,2020-04-01 13:57:12,6c8e0ba5-c5a1-5da9-92f4-e768507846d0,False,357.0,afval_cluster,125080.811|481884.177,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1
61,125100,481960,75304.0,125099.582~481960.348~afval_cluster~125099.582|481960.348,558550.0,38954.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dd15d11b-e87e-2cd5-a164-1afd30a811f9,False,357.0,afval_cluster,125099.582|481960.348,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Daniël Defoelaan,T93b,T93,T,1,1,1,1,0,4
62,125120,482149,35020.0,125120.486~482148.658~afval_cluster~125120.486|482148.658,518241.0,72392.0,2020-04-01 13:57:12,2020-04-01 13:57:12,17a4e28b-9569-1b64-ff64-e26173fd49a5,False,357.0,afval_cluster,125120.486|482148.658,['Rest:1'],['Rest:5 m3'],Dantestraat,T93b,T93,T,1,0,0,0,0,1
63,125122,481117,320404.0,125121.670~481116.833~afval_cluster~125121.670|481116.833,803779.0,31836.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a27f8cd3-7406-4a94-ec9d-c32dddc0fbc7,False,357.0,afval_cluster,125121.670|481116.833,['Rest:1'],['Rest:5 m3'],Anna Blamansingel,T93a,T93,T,1,0,0,0,0,1
64,125178,481938,56977.0,125178.018~481938.057~afval_cluster~125178.018|481938.057,540214.0,550.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d6ae034e-43d8-0c25-f290-10c17f47dd26,False,357.0,afval_cluster,125178.018|481938.057,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1
