,distance,penalties
197,158.31947968215374,109.28894262549466
198,159.66429963492556,109.0033058656763
199,157.5452399590549,108.9098193400181
200,162.00555145775863,111.17263158206906
201,159.3596789302814,109.07736660508053
202,158.12014760318363,110.19285262737776
203,158.53203493517447,108.57736831246211
204,160.02813305611602,111.89524265593741
205,157.18647280263193,108.95327621449528
206,159.70882171689138,111.28355200767196
207,159.51605960092658,109.49484267026561
208,159.6796220119375,110.52670011555558
209,158.85593405386084,110.03658897349618
210,159.30305417611805,108.5633372526682
211,158.76354717190483,108.40997296181175
212,157.39180152635686,107.38477025232902
213,159.8447800883231,111.26974749062256
214,158.76052777575077,109.50779523884609
215,161.2834866738893,110.42207312146957
216,158.73418690894732,109.37109547043022
217,158.86100448418054,109.03385533666173
218,159.7105443503439,112.01697199270446
219,158.2890994709822,107.48310775253069
220,160.1600788939941,110.08436555097705
221,157.824611638499,109.98169453905125
222,159.86708242601978,111.05489848320994
223,159.49258373334956,110.48411238623615
224,159.6778997174209,108.68423670149625
225,158.21107936349412,108.69712239834601
226,159.07326980744898,108.86102967497439
227,160.0553751716315,110.8101299311717
228,160.6167635343411,110.18910441615428
229,158.92407752709826,108.3671975603316
230,159.7693406352665,109.11473620868587
231,159.90855207179993,109.64413191394384
232,160.1514873106792,109.78244239134084
233,159.02213399666272,108.87621854262112
234,158.40660701563186,109.15036276975867
235,158.60105801274327,109.39794419173484
236,159.2519793486803,109.17220696263564
237,158.96909722460524,109.1566776364037
238,158.59280614766868,109.84769639763165
239,159.33911455816536,109.34489707271476
240,159.4062307118317,110.78664418525788
241,159.8383517468476,110.71254032168551
242,160.65626740294417,109.51736864923475
243,159.9021036881227,109.26132641724247
244,158.11576782240633,111.21100011711212
245,159.83722542861256,110.16178503455596
246,157.97089610362187,108.32248691046468
247,159.1306204492979,109.32605541076711
248,158.40192335768182,109.38172757167999
249,159.12621576027058,109.06744965792271
250,161.60220292031028,111.3419465827486
251,159.59922399445986,108.4460308933658
252,160.24047322982864,111.53272073038221
253,158.2018165947869,107.2924327261121
254,157.8534588890193,110.17518950428163
255,158.07684389712415,107.79838153174661
256,159.3981408777388,108.70545187897241
257,158.94964027295586,109.73076268196931
258,158.7915023348188,109.7617409625466
259,157.8655689236931,109.94790832705597
260,159.56637698451144,109.2059275865311
261,159.87160226528286,110.9118873768788
262,158.3521041624379,107.83380229410676
263,159.08620548628642,108.50173579761471
264,158.00670740832203,108.25617785551798
265,158.86412261169065,110.4564305904209
266,159.05086657689253,108.27336526902948
267,161.08342847696284,112.77278859904483
268,159.27962253402293,109.87317366903088
269,157.57580419316952,109.13103945791046
270,158.84912745986406,109.11122345980996
271,159.24420246942995,110.4389243072531
272,159.43481906385765,108.49900777372966
