,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
42,113516,485630,695718.0,101340.0,afval_cluster,113516.283|485630.432,['Rest:2'],['Rest:8 m3'],Terpstraat,F83a,F83,F,2,0,0,0,0,2,True
43,113521,485095,727714.0,80704.0,afval_cluster,113520.958|485095.013,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Akersingel,F84b,F84,F,1,0,1,0,0,2,True
44,113556,485505,789127.0,87296.0,afval_cluster,113556.243|485505.457,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True
45,113560,484838,664965.0,148133.0,afval_cluster,113559.654|484838.184,['Rest:3'],['Rest:13 m3'],Fluessenlaan,F84b,F84,F,2,0,0,1,0,3,True
46,113579,485291,948234.0,117129.0,afval_cluster,113579.348|485290.552,['Rest:2'],['Rest:8 m3'],M. Gandhilaan,F84a,F84,F,1,0,1,0,0,2,True
47,113584,485557,672286.0,53083.0,afval_cluster,113584.115|485556.591,['Rest:2'],['Rest:8 m3'],De Biezenhof,F83a,F83,F,2,0,0,0,0,2,True
48,113588,485192,925083.0,56829.0,afval_cluster,113587.907|485192.335,['Rest:2'],['Rest:8 m3'],Jarasingel,F84a,F84,F,1,0,1,0,0,2,True
49,113594,485750,877373.0,5017.0,afval_cluster,113594.266|485749.576,['Rest:2'],['Rest:8 m3'],Griendstraat,F83a,F83,F,1,0,1,0,0,2,True
50,113603,484747,704889.0,22807.0,afval_cluster,113602.624|484746.555,['Rest:2'],['Rest:8 m3'],Iseoplantsoen,F84b,F84,F,1,1,0,0,0,2,True
51,113607,485472,962658.0,131550.0,afval_cluster,113606.635|485471.776,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True
52,113611,484885,542567.0,26996.0,afval_cluster,113611.241|484884.546,['Rest:2'],['Rest:8 m3'],Vätternkade,F84b,F84,F,1,1,0,0,0,2,True
53,113629,484556,505670.0,75922.0,afval_cluster,113628.989|484556.097,['Rest:2'],['Rest:8 m3'],Pracanalaan,F84b,F84,F,1,0,0,0,1,2,True
54,113648,485637,659089.0,6780.0,afval_cluster,113648.455|485636.689,['Rest:2'],['Rest:10 m3'],Griendstraat,F83a,F83,F,2,0,0,0,0,2,True
55,113665,485421,953548.0,57695.0,afval_cluster,113665.363|485420.512,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:3 m3']",Bonhoeffersingel,F84a,F84,F,2,0,1,1,0,4,True
56,113676,485324,561850.0,148820.0,afval_cluster,113676.377|485324.071,['Rest:2'],['Rest:8 m3'],Jarasingel,F84a,F84,F,2,0,0,0,0,2,True
57,113676,485677,777203.0,3810.0,afval_cluster,113675.751|485676.657,"['Rest:2', 'Papier:1']","['Rest:10 m3', 'Papier:5 m3']",Penninkshof,F83a,F83,F,2,1,0,0,0,3,True
58,113687,484756,938497.0,33927.0,afval_cluster,113686.738|484756.378,['Rest:1'],['Rest:5 m3'],Lomondlaan,F84b,F84,F,1,0,0,0,0,1,True
59,113687,485126,562005.0,46991.0,afval_cluster,113687.286|485126.332,['Rest:2'],['Rest:8 m3'],Karl Grögersingel,F84a,F84,F,2,0,0,0,0,2,True
60,113688,485562,951473.0,125089.0,afval_cluster,113687.742|485561.559,['Rest:2'],['Rest:10 m3'],Burgersweerhof,F83a,F83,F,2,0,0,0,0,2,True
61,113695,484970,931050.0,449.0,afval_cluster,113694.662|484969.570,['Rest:3'],['Rest:15 m3'],Ladogameerhof,F84b,F84,F,3,0,0,0,0,3,True
62,113700,485018,708043.0,24621.0,afval_cluster,113700.368|485018.453,['Rest:2'],['Rest:8 m3'],Willy La Croixstraat,F84a,F84,F,0,1,1,0,0,2,True
63,113705,484506,880228.0,145543.0,afval_cluster,113705.217|484505.660,['Rest:2'],['Rest:8 m3'],Pracanalaan,F84b,F84,F,2,0,0,0,0,2,True
64,113713,484683,829542.0,45453.0,afval_cluster,113712.987|484683.448,['Rest:2'],['Rest:8 m3'],Iseoplantsoen,F84b,F84,F,2,0,0,0,0,2,True
65,113717,484814,962692.0,846.0,afval_cluster,113717.360|484813.697,['Rest:2'],['Rest:8 m3'],Vätternkade,F84b,F84,F,2,0,0,0,0,2,True
66,113729,485776,492301.0,92326.0,afval_cluster,113728.999|485775.732,"['Rest:2', 'Glas:1', 'Papier:1', 'Textiel:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:3 m3', 'Textiel:3 m3']",Groezestraat,F83a,F83,F,3,0,0,1,1,5,True
67,113731,485767,570829.0,14685.0,afval_cluster,113731.053|485766.884,['Plastic:1'],['Plastic:4 m3'],Groezestraat,F83a,F83,F,0,1,0,0,0,1,True
68,113733,485457,523962.0,46052.0,afval_cluster,113732.742|485457.313,['Rest:2'],['Rest:10 m3'],Rijssenburghof,F83a,F83,F,2,0,0,0,0,2,True
69,113737,484941,867174.0,75353.0,afval_cluster,113736.749|484941.367,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:5 m3']",Ladogameerhof,F84b,F84,F,0,0,1,1,0,2,True
70,113739,484620,959713.0,146156.0,afval_cluster,113738.948|484619.763,['Rest:2'],['Rest:8 m3'],Weissensingel,F84b,F84,F,2,0,0,0,0,2,True
71,113741,484952,590295.0,5034.0,afval_cluster,113740.793|484951.713,['Plastic:1'],['Plastic:4 m3'],Ladogameerhof,F84b,F84,F,0,1,0,0,0,1,True
72,113757,484608,758186.0,9615.0,afval_cluster,113756.503|484607.988,['Papier:1'],['Papier:5 m3'],Balatonmeerlaan,F84b,F84,F,0,0,1,0,0,1,True
