,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
17,124781,481398,724075.0,86419.0,afval_cluster,124780.765|481398.317,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
18,124789,481630,742503.0,111456.0,afval_cluster,124789.174|481630.282,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Andersensingel,T93a,T93,T,1,1,1,1,0,4,True,0.0
19,124793,481084,505226.0,123253.0,afval_cluster,124792.878|481083.667,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
20,124795,481280,689217.0,101862.0,afval_cluster,124795.440|481279.800,['Rest:1'],['Rest:5 m3'],Boeninlaan,T93a,T93,T,1,0,0,0,0,1,True,0.0
21,124798,481187,671386.0,12472.0,afval_cluster,124797.828|481187.188,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3', 'Textiel:3 m3']",Berthold Brechtstraat,T93a,T93,T,1,1,1,1,1,5,True,0.0
22,124815,481820,673066.0,140390.0,afval_cluster,124815.437|481820.213,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1,True,0.0
23,124818,481890,532422.0,106181.0,afval_cluster,124817.834|481889.599,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Charlotte Brontéstraat,T93b,T93,T,2,1,1,1,0,5,True,0.0
24,124847,482065,664722.0,156955.0,afval_cluster,124846.820|482065.428,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1,True,0.0
25,124870,481448,722197.0,556.0,afval_cluster,124870.293|481448.255,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
26,124882,481025,733894.0,75465.0,afval_cluster,124882.438|481025.312,['Rest:1'],['Rest:5 m3'],Brentanostraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
27,124883,481327,903440.0,41620.0,afval_cluster,124883.339|481327.054,['Rest:1'],['Rest:5 m3'],Barbusselaan,T93a,T93,T,1,0,0,0,0,1,True,0.0
28,124884,481119,720936.0,44395.0,afval_cluster,124883.902|481119.296,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Brentanostraat,T93a,T93,T,1,1,1,1,0,4,True,0.0
29,124885,481776,889883.0,145140.0,afval_cluster,124884.576|481775.744,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1,True,0.0
30,124889,481237,828841.0,49000.0,afval_cluster,124889.052|481236.688,['Rest:1'],['Rest:5 m3'],Berthold Brechtstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
31,124893,481768,698371.0,97916.0,afval_cluster,124892.561|481768.024,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Dostojevskisingel,T93b,T93,T,0,1,1,1,0,3,True,0.0
32,124905,481856,776479.0,145958.0,afval_cluster,124904.811|481856.066,['Rest:1'],['Rest:5 m3'],Dickenslaan,T93b,T93,T,1,0,0,0,0,1,True,0.0
33,124918,481005,921630.0,137929.0,afval_cluster,124918.435|481004.774,['Rest:1'],['Rest:5 m3'],Anna Blamansingel,T93a,T93,T,1,0,0,0,0,1,True,0.0
34,124925,481259,483837.0,58065.0,afval_cluster,124924.425|481257.636,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Barbusselaan,T93a,T93,T,1,1,1,1,0,4,True,0.0
35,124928,481950,525767.0,88756.0,afval_cluster,124927.945|481950.327,['Rest:1'],['Rest:5 m3'],Charlotte Brontéstraat,T93b,T93,T,1,0,0,0,0,1,True,0.0
36,124932,482031,667628.0,141958.0,afval_cluster,124932.271|482031.499,['Rest:1'],['Rest:5 m3'],Chestertonlaan,T93b,T93,T,1,0,0,0,0,1,True,0.0
37,124946,482120,838036.0,134438.0,afval_cluster,124946.269|482120.006,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1,True,0.0
38,124959,481406,914668.0,105387.0,afval_cluster,124958.809|481406.088,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Bernard Shawsingel,T93a,T93,T,1,1,1,1,0,4,True,0.0
39,124965,481278,655843.0,4012.0,afval_cluster,124964.860|481278.464,['Rest:1'],['Rest:5 m3'],Berthold Brechtstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
40,124985,481831,617338.0,62983.0,afval_cluster,124984.634|481831.381,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1,True,0.0
