"ligtin_bag_pnd_identificatie","aantal_woonfunctie","aantal_niet_woonfunctie","min_verdiepingtoegang"
"0363100012061497","1","0","0"
"0363100012061498","9","1","0"
"0363100012061499","1","0","0"
"0363100012061500","5","0","0"
"0363100012061501","0","1",NULL
"0363100012061502","0","1",NULL
"0363100012061503","1","0","0"
"0363100012061504","0","1",NULL
"0363100012061505","2","0","0"
"0363100012061506","5","0","0"
"0363100012061507","1","0","0"
"0363100012061508","1","0","0"
"0363100012061509","2","0","0"
"0363100012061510","1","0","0"
"0363100012061511","0","1","0"
"0363100012061512","0","1","0"
"0363100012061513","1","0","0"
"0363100012061514","2","0","0"
"0363100012061515","1","0","0"
"0363100012061516","1","0","0"
"0363100012061517","1","0","0"
"0363100012061518","1","0","0"
"0363100012061519","1","0","0"
"0363100012061520","5","0","0"
"0363100012061521","0","1",NULL
"0363100012061522","4","1","1"
"0363100012061523","0","1",NULL
"0363100012061524","0","1",NULL
"0363100012061525","40","1","0"
"0363100012061526","1","0","0"
"0363100012061527","0","1","0"
"0363100012061528","3","0","0"
"0363100012061529","1","0","0"
"0363100012061530","1","0","0"
"0363100012061531","1","0","0"
"0363100012061532","1","0","0"
"0363100012061533","1","0","0"
"0363100012061534","1","0","0"
"0363100012061535","1","0","0"
"0363100012061536","0","1",NULL
"0363100012061537","1","0","0"
"0363100012061538","4","0","0"
"0363100012061539","1","0","0"
"0363100012061540","3","0","0"
"0363100012061541","3","0","0"
"0363100012061542","2","0","0"
"0363100012061543|0363100012149395","1","0","0"
"0363100012061544","4","0","0"
"0363100012061545","8","0","0"
"0363100012061546","3","1","1"
"0363100012061547","1","0","0"
"0363100012061548","13","1","0"
"0363100012061549","6","0","1"
"0363100012061549|0363100012067211","0","1","0"
"0363100012061550","1","0","0"
"0363100012061551","13","0","0"
"0363100012061552","0","1",NULL
"0363100012061553","0","1",NULL
"0363100012061554","4","0","0"
"0363100012061555","1","0","0"
"0363100012061556","4","0","0"
"0363100012061557","10","2","0"
"0363100012061558","2","0","0"
"0363100012061559","1","0","0"
"0363100012061560","14","0","0"
"0363100012061561","1","0","0"
"0363100012061562","2","0","0"
"0363100012061563","3","0","0"
"0363100012061564","1","0","0"
"0363100012061565","1","0","0"
"0363100012061566","4","0","0"
"0363100012061567","1","0","0"
"0363100012061568","3","1","1"
"0363100012061569","3","0","0"
"0363100012061570","1","0","0"
"0363100012061571","4","0","1"
"0363100012061572","4","0","1"
"0363100012061573","4","1","1"
"0363100012061574","4","0","0"
"0363100012061575","1","0","0"
"0363100012061576","2","0","0"
"0363100012061577","1","0","0"
"0363100012061578","2","0","0"
"0363100012061579","24","0","0"
"0363100012061580","3","0","0"
"0363100012061581","1","0",NULL
"0363100012061582","4","0","0"
"0363100012061583","1","0","0"
"0363100012061584","60","3","0"
"0363100012061585","3","0","0"
"0363100012061586","1","0","0"
"0363100012061587","0","1",NULL
"0363100012061588","1","0","0"
"0363100012061589","2","1","0"
"0363100012061590","8","0","0"
"0363100012061591","21","0",NULL
"0363100012061592","2","0","0"
"0363100012061593","1","0","0"
"0363100012061594","1","0",NULL
"0363100012061595","2","0","0"
"0363100012061596","1","0","0"
"0363100012061597","3","0","0"
"0363100012061598","1","0","0"
"0363100012061600","1","0","0"
"0363100012061601","3","1","0"
"0363100012061602","2","0","0"
"0363100012061603","1","0","0"
"0363100012061604","3","1","0"
"0363100012061605","5","0","0"
"0363100012061606","4","0","0"
"0363100012061607","1","0","0"
"0363100012061608","5","0","0"
"0363100012061609","1","0","0"
"0363100012061610","4","0","0"
"0363100012061611","3","1","1"
"0363100012061612","1","0","0"
"0363100012061613","1","0","0"
"0363100012061614","1","0","0"
"0363100012061615","1","0","0"
"0363100012061616","0","1",NULL
"0363100012061617","6","2","0"
"0363100012061618","1","0","0"
"0363100012061619","1","0","0"
"0363100012061620","1","0","0"
"0363100012061622","2","0","0"
"0363100012061623","8","0","0"
"0363100012061624","1","0","0"
"0363100012061625","1","0","0"
"0363100012061626","0","1",NULL
"0363100012061627","1","0","0"
"0363100012061628","1","0","0"
"0363100012061629","5","2","0"
"0363100012061630","1","0","0"
"0363100012061631","1","0","0"
"0363100012061633","24","0","1"
"0363100012061634","9","0","0"
"0363100012061635","9","0","0"
"0363100012061637","1","0","0"
"0363100012061638","3","0","0"
"0363100012061639","1","0","0"
"0363100012061640","1","1","0"
"0363100012061641","1","0","0"
"0363100012061642","7","0","0"
"0363100012061643","8","0","0"
"0363100012061644","1","0","0"
"0363100012061645","7","0","0"
"0363100012061646","1","0","0"
"0363100012061647","4","0","0"
"0363100012061648","8","0","0"
"0363100012061649","0","1","0"
"0363100012061650","6","0","0"
"0363100012061651","4","0","0"
"0363100012061652","1","0","0"
"0363100012061653","3","6","1"
"0363100012061654","2","0","0"
"0363100012061655","1","0","0"
"0363100012061656","4","0","0"
"0363100012061657","1","0","0"
"0363100012061658","1","0","0"
"0363100012061659","8","0","0"
"0363100012061660","60","5","0"
"0363100012061661","1","0","0"
"0363100012061662","1","0","0"
"0363100012061663","0","1","0"
"0363100012061664","8","0","0"
"0363100012061665","4","0","0"
"0363100012061666","1","0","0"
"0363100012061667","2","0","0"
"0363100012061668","3","0","0"
"0363100012061669","0","1",NULL
"0363100012061670","2","0","0"
"0363100012061671","1","0","0"
"0363100012061672","2","0","0"
"0363100012061673","1","0","0"
"0363100012061674","8","0","1"
"0363100012061675","4","0","0"
"0363100012061676","1","0","0"
"0363100012061677","1","0","0"
"0363100012061678","1","0","0"
"0363100012061679","1","0","0"
"0363100012061680","14","0","0"
"0363100012061681","1","0","0"
"0363100012061682","1","0","0"
"0363100012061683","1","0","0"
"0363100012061684","1","0","0"
"0363100012061685","4","0","0"
"0363100012061686","8","0","0"
"0363100012061687","1","0","0"
"0363100012061688","4","0","0"
"0363100012061689","0","1",NULL
"0363100012061690","14","2","0"
"0363100012061691","1","0","0"
"0363100012061693","1","0",NULL
"0363100012061694","4","0","0"
"0363100012061695","12","1","0"
"0363100012061696","1","0","0"
"0363100012061697","8","0","0"
"0363100012061698","1","0","0"
"0363100012061700","3","1","1"
"0363100012061701","1","0",NULL
"0363100012061702","0","1",NULL
"0363100012061703","0","1",NULL
"0363100012061704","2","0","0"
"0363100012061705","0","1","0"
"0363100012061706","1","1",NULL
"0363100012061707","3","0","0"
"0363100012061708","4","0","0"
"0363100012061709","1","0","0"
"0363100012061710","0","1",NULL
"0363100012061711","1","0","0"
"0363100012061712","4","0","0"
"0363100012061713","1","0","0"
"0363100012061714","0","1",NULL
"0363100012061715","3","1","1"
"0363100012061716","4","0","0"
"0363100012061717","1","0","0"
"0363100012061718","0","1",NULL
"0363100012061719","1","0","0"
"0363100012061720","4","0","0"
"0363100012061721","4","0","0"
"0363100012061722","1","0","0"
"0363100012061723","3","0","0"
"0363100012061724","2","0","0"
"0363100012061725","1","0","0"
"0363100012061726","1","0","0"
"0363100012061727","1","0","0"
"0363100012061728","1","0","0"
"0363100012061729","1","0","0"
"0363100012061730|0363100012233501","0","1","0"
"0363100012061731","1","0","0"
"0363100012061732","1","0","0"
"0363100012061733","1","0","0"
"0363100012061734","4","0","0"
"0363100012061735","1","0","0"
"0363100012061736","1","0","0"
"0363100012061737","1","0","0"
"0363100012061738","1","0","0"
"0363100012061739","4","0","0"
"0363100012061740","4","0","0"
"0363100012061741","1","0","0"
"0363100012061742","1","0","0"
"0363100012061743","1","0","0"
"0363100012061744","0","1",NULL
"0363100012061745","1","0","0"
"0363100012061746","1","1","0"
"0363100012061747","5","0","0"
"0363100012061748","1","0","0"
"0363100012061749","1","0","0"
"0363100012061750","2","0","0"
"0363100012061751","5","0","0"
"0363100012061752","4","0","0"
"0363100012061753","1","0","0"
"0363100012061754","4","0","0"
"0363100012061755","1","0","0"
"0363100012061756","0","1",NULL
"0363100012061757","3","1","1"
"0363100012061758","1","0","0"
"0363100012061759","1","0","0"
"0363100012061760","0","1",NULL
"0363100012061761","4","0","0"
"0363100012061762","0","1","0"
"0363100012061763","3","0","0"
"0363100012061764","8","1","0"
"0363100012061765","3","0","1"
"0363100012061766","5","0","0"
"0363100012061767","4","0","0"
"0363100012061768","0","1",NULL
"0363100012061769","1","0",NULL
"0363100012061770","1","0","0"
"0363100012061770|0363100012112909|0363100012207139","3","0","1"
"0363100012061771","5","0","0"
"0363100012061772","4","0","0"
"0363100012061773","1","0","0"
"0363100012061774","1","0","0"
"0363100012061775","1","0","0"
"0363100012061776","1","0","0"
"0363100012061777","3","0","0"
"0363100012061778","1","0","0"
"0363100012061779","25","0","0"
"0363100012061780","4","0","0"
"0363100012061781","11","0","0"
"0363100012061782","6","4","1"
"0363100012061783","3","1","1"
"0363100012061784","7","0","0"
"0363100012061785","1","0","0"
"0363100012061786","12","0","0"
"0363100012061787","4","0","0"
"0363100012061788","1","0","0"
"0363100012061789","4","0","0"
"0363100012061790","4","0","0"
"0363100012061791","18","0","0"
"0363100012061793","1","0","0"
"0363100012061794","5","1","0"
"0363100012061795","4","0","0"
"0363100012061796","1","0","0"
"0363100012061797","4","0","0"
"0363100012061798","3","0","0"
"0363100012061799","3","0","0"
"0363100012061800","1","0","0"
"0363100012061801","6","0","0"
"0363100012061802","1","0","0"
"0363100012061803","1","0","0"
"0363100012061804","8","0","0"
"0363100012061805","1","0","0"
"0363100012061806","3","1","1"
"0363100012061807","3","1","0"
"0363100012061808","1","0","0"
"0363100012061809","1","0","0"
"0363100012061810","1","0","0"
"0363100012061811","1","0","0"
"0363100012061812","1","0","0"
"0363100012061813","3","0","0"
"0363100012061814","5","0","0"
"0363100012061815","0","1",NULL
"0363100012061816","1","0","0"
"0363100012061817","6","0","0"
"0363100012061818","15","0","0"
"0363100012061819","3","0","0"
"0363100012061820","28","2","0"
"0363100012061821","2","0","0"
"0363100012061822","6","0","0"
"0363100012061823","1","0","0"
"0363100012061824","1","0","0"
"0363100012061825","8","0","0"
"0363100012061826","0","2","0"
"0363100012061827","1","0","0"
"0363100012061828","1","0","0"
"0363100012061829","8","0","0"
"0363100012061830","4","0","0"
