cluster_id;cluster_subcluster_indicatie;cluster_geometrie;cluster_wgs84_lat;cluster_wgs84_lon;cluster_datum_opvoer_cluster;cluster_datum_wijziging;cluster_datum_ontstaan_cluster;cluster_datum_einde_cluster;cluster_status;cluster_fractie_volume;cluster_fractie_aantal;gbd_buurt_identificatie;gbd_buurt_volgnummer;gbd_buurt_naam;gbd_buurt_code;gbd_buurt_begingeldigheid;gbd_buurt_cbs_code;gbd_wijk_identificatie;gbd_wijk_volgnummer;gbd_wijk_naam;gbd_wijk_code;gbd_wijk_begingeldigheid;gbd_wijk_cbs_code;gbd_stadsdeel_identificatie;gbd_stadsdeel_volgnummer;gbd_stadsdeel_naam;gbd_stadsdeel_code;gbd_stadsdeel_begingeldigheid;gbd_ggwgebied_identificatie;gbd_ggwgebied_volgnummer;gbd_ggwgebied_naam;gbd_ggwgebied_code;gbd_ggwgebied_begingeldigheid;woonplaats_naam;woonplaats_begingeldigheid;bag_openbareruimte_identificatie;bag_openbareruimte_volgnummer;bag_openbareruimte_naam;bag_openbareruimte_type;bag_openbareruimte_begingeldigheid;bag_adres_identificatie_verblijfsobject;bag_adres_identificatie_nummeraanduiding;bag_adres_identificatie_openbare_ruimte;bag_adres_identificatie_woonplaats;bag_adres_volgnummer_verblijfsobject;bag_adres_volgnummer_nummeraanduiding;bag_adres_volgnummer_openbare_ruimte;bag_adres_volgnummer_woonplaats;bag_adres_openbare_ruimte_naam;bag_adres_nummeraanduiding_huisnummer;bag_adres_nummeraanduiding_huisletter;bag_adres_nummeraanduiding_huisnummertoevoeging;bag_adres_nummeraanduiding_postcode;bag_adres_woonplaatsnaam;bag_adres_begingeldigheid
119599.818|483883.537;false;POINT(119599.817921596 483883.536526634);52.34172917;4.86774023;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:15 m3""}";{Rest:3};3630000000842;3;Prinses Irenebuurt;K59a;2015-11-01;BU03635900;3630012052068;4;Prinses Irenebuurt e.o.;K59;2015-11-01;WK036359;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000003265;7;Dina Appeldoornstraat;Weg;2014-01-10;0363010000623618;0363200000085871;0363300000003265;3594;9;3;7;3;Dina Appeldoornstraat;15;;1;1076AX;Amsterdam;2013-02-09
119602.948|482372.066;false;POINT(119602.947720218 482372.0664612);52.32814529;4.86794503;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:12 m3"",""Glas:3 m3"",""Papier:4 m3""}";{Rest:3,Glas:1,Papier:1};3630000000848;2;Buitenveldert Zuidwest;K90d;2010-05-01;BU03639003;3630012052010;4;Buitenveldert-West;K90;2015-01-01;WK036390;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000002761;7;Assumburg;Weg;2014-01-10;0363010000573235;0363200000035962;0363300000002761;3594;6;3;7;3;Assumburg;2;;;1081GC;Amsterdam;2010-09-09
119605.110|481930.799;false;POINT(119605.109528628 481930.798674376);52.32417960;4.86802310;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000848;2;Buitenveldert Zuidwest;K90d;2010-05-01;BU03639003;3630012052010;4;Buitenveldert-West;K90;2015-01-01;WK036390;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000004274;7;Marquette;Weg;2014-01-10;0363010000738263;0363200000199239;0363300000004274;3594;7;3;7;3;Marquette;1;;;1081AD;Amsterdam;2010-09-09
119606.345|486143.850;false;POINT(119606.344637918 486143.849733437);52.36204370;4.86759823;2020-01-28 15:15:20.500395;2016-10-13 00:00:00;2016-10-13;;1;"{""Rest:30 m3"",""Plastic:15 m3""}";{Rest:6,Plastic:3};3630000000570;2;Cremerbuurt Oost;E20c;2010-05-01;BU03632002;3630012052051;2;Helmersbuurt;E20;2010-05-01;WK036320;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000003018;8;Brederodestraat;Weg;2014-01-10;0363010000750429;0363200000210986;0363300000003855;3594;6;3;8;3;Nicolaas Beetsstraat;144;;2;1054XV;Amsterdam;2010-09-09
119606.996|486378.383;false;POINT(119606.996462336 486378.383345252);52.36415157;4.86758312;2020-01-28 15:15:20.500395;2020-04-02 16:10:58.44;2017-06-01;2020-04-02;1;;;3630000000566;2;Borgerbuurt;E19b;2010-05-01;BU03631901;3630012052047;2;Van Lennepbuurt;E19;2010-05-01;WK036319;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000003404;8;Jacob van Lennepkade;Weg;2014-01-10;0363010000905863;0363200000363145;0363300000005452;3594;12;3;7;3;Schoolmeesterstraat;113;;;1053MB;Amsterdam;2018-11-02
119607.458|486374.591;false;POINT(119607.458096293 486374.591467815);52.36411752;4.86759029;2020-04-02 16:20:36.534219;2017-06-01 00:00:00;2017-06-01;;1;"{""Rest:5 m3"",""Glas:5 m3"",""Papier:5 m3"",""Plastic:5 m3""}";{Rest:1,Glas:1,Papier:1,Plastic:1};3630000000566;2;Borgerbuurt;E19b;2010-05-01;BU03631901;3630012052047;2;Van Lennepbuurt;E19;2010-05-01;WK036319;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000003404;8;Jacob van Lennepkade;Weg;2014-01-10;0363010000905862;0363200000363144;0363300000005452;3594;11;3;7;3;Schoolmeesterstraat;112;;;1053MC;Amsterdam;2019-10-18
119611.756|485462.450;false;POINT(119611.755726461 485462.449912032);52.35592012;4.86774936;2020-01-28 15:15:20.500395;2017-01-12 00:00:00;2017-01-12;;1;"{""Rest:10 m3"",""Papier:10 m3""}";{Rest:2,Papier:2};3630000000810;2;Cornelis Schuytbuurt;K47d;2010-05-01;BU03634703;3630012052086;2;Museumkwartier;K47;2010-05-01;WK036347;3630011872038;3;Zuid;K;2015-01-01;3630950000009;2;Oud-Zuid;DX10;2019-10-03;Amsterdam;2014-01-10;0363300000005201;8;Van Eeghenstraat;Weg;2014-01-10;0363010000838848;0363200000297168;0363300000005201;3594;10;3;8;3;Van Eeghenstraat;199;;;1071GD;Amsterdam;2018-11-02
119615.641|483961.532;false;POINT(119615.640555581 483961.531848186);52.34243116;4.86796421;2020-01-28 15:15:20.500395;2015-01-01 00:00:00;2015-01-01;;1;"{""Plastic:4 m3""}";{Plastic:1};3630000000842;3;Prinses Irenebuurt;K59a;2015-11-01;BU03635900;3630012052068;4;Prinses Irenebuurt e.o.;K59;2015-11-01;WK036359;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000004811;7;Parnassusweg;Weg;2014-01-10;0363010000772033;0363200000232103;0363300000004811;3594;6;3;7;3;Parnassusweg;202;;;1076AV;Amsterdam;2010-09-09
119616.583|487646.118;false;POINT(119616.583238653 487646.117915749);52.37554565;4.86759042;2020-01-28 15:15:20.500395;2009-09-01 00:00:00;2009-09-01;;1;"{""Rest:10 m3"",""Plastic:4 m3"",""Textiel:3 m3""}";{Rest:2,Plastic:1,Textiel:1};3630000000559;3;Marcanti;E15d;2015-01-01;BU03631503;3630012052017;3;Centrale Markt;E15;2015-01-01;WK036315;3630011872036;3;West;E;2015-01-01;3630950000002;2;Westerpark;DX03;2019-10-03;Amsterdam;2014-01-10;0363300000005782;7;Marcantilaan;Weg;2014-01-10;0363010012114976;0363200012116729;0363300000005782;3594;12;11;7;3;Marcantilaan;1;B;;1051LN;Amsterdam;2018-12-27
119617.877|488566.830;false;POINT(119617.876702488 488566.829889202);52.38382040;4.86751245;2020-01-28 15:15:20.500395;2009-09-01 00:00:00;2009-09-01;;1;"{""Rest:10 m3""}";{Rest:2};3630000000556;2;Ecowijk;E15a;2010-05-01;BU03631500;3630012052017;3;Centrale Markt;E15;2015-01-01;WK036315;3630011872036;3;West;E;2015-01-01;3630950000002;2;Westerpark;DX03;2019-10-03;Amsterdam;2014-01-10;0363300000001207;7;Waterpoortweg;Weg;2014-01-10;0363010000956765;0363200000454505;0363300000001207;3594;9;3;7;3;Waterpoortweg;201;;;1051PT;Amsterdam;2019-10-18
