,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
1352,124575,487276,709644.0,86356.0,afval_cluster,124575.090|487275.784,['Rest:1'],['Rest:4.69 m3'],Panamakade,M33e,M33,M,1,0,0,0,0,1,True,0.0
1353,124576,484773,904079.0,19972.0,afval_cluster,124576.349|484773.051,"['Rest:2', 'Glas:4', 'Papier:2']","['Rest:9.38 m3', 'Glas:19.38 m3', 'Papier:9.38 m3']",Curiestraat,M56c,M56,M,2,0,2,4,0,8,True,0.0
1354,124576,485031,823440.0,22881.0,afval_cluster,124575.526|485030.977,['Rest:1'],['Rest:5 m3'],Radioweg,M56c,M56,M,1,0,0,0,0,1,True,0.0
1355,124580,485889,671968.0,45359.0,afval_cluster,124579.562|485889.194,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:4.69 m3', 'Papier:5 m3', 'Plastic:4.69 m3']",Tidorestraat,M32b,M32,M,0,1,1,1,0,3,True,0.0
1356,124581,486290,522978.0,617.0,afval_cluster,124580.578|486289.868,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Javastraat,M32a,M32,M,0,0,1,1,0,2,True,0.0
1357,124586,484584,541827.0,49334.0,afval_cluster,124585.609|484583.580,['Rest:2'],['Rest:10 m3'],Finsenstraat,M56c,M56,M,2,0,0,0,0,2,True,0.0
1358,124592,483610,862025.0,17953.0,afval_cluster,124591.929|483610.170,"['Rest:3', 'Glas:1']","['Rest:13 m3', 'Glas:3 m3']",Graanstraat,M57a,M57,M,3,0,0,1,0,4,True,0.0
1359,124594,486054,574528.0,44403.0,afval_cluster,124594.204|486054.385,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Papier:4.69 m3']",Soerabajastraat,M32b,M32,M,1,0,1,1,0,3,True,0.0
1360,124597,487051,722641.0,135502.0,afval_cluster,124597.455|487051.459,['Rest:1'],['Rest:4.69 m3'],Borneokade,M33f,M33,M,1,0,0,0,0,1,False,0.0
1361,124598,487366,775232.0,163677.0,afval_cluster,124598.011|487365.949,['Rest:1'],['Rest:4.69 m3'],C.J.K. van Aalststraat,M33e,M33,M,1,0,0,0,0,1,True,0.0
1362,124600,485784,927909.0,75644.0,afval_cluster,124600.315|485783.953,"['Rest:1', 'Glas:1', 'Plastic:1']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Plastic:4.69 m3']",Sumatrastraat,M32b,M32,M,1,1,0,1,0,3,True,0.0
