,avg_distance,penalties,simple_penalties,best,amount of modifications
37,115.56558704192707,59.482841513299896,217948.139,59.50242271165055,13.0
38,115.63795676375253,59.53961438270682,217998.67099999997,59.482841513299896,22.0
39,115.58603917341478,59.486540384029055,217872.128,59.482841513299896,18.0
40,115.61591872127951,59.52213308583931,218148.97400000002,59.482841513299896,25.0
41,115.53899527176775,59.47652327267916,218041.526,59.482841513299896,30.0
42,115.49849906492095,59.432435312501525,218155.472,59.47652327267916,28.0
43,115.48963972827738,59.420250466601324,218103.18600000002,59.432435312501525,11.0
44,115.53792499029649,59.45383547172262,218210.972,59.420250466601324,25.0
45,115.46557370607695,59.373995684954664,218008.065,59.420250466601324,19.0
46,115.47409659862778,59.377106939157066,217985.495,59.373995684954664,16.0
47,115.47214788419507,59.38939940757168,218000.616,59.373995684954664,11.0
48,115.51238335280568,59.41965063577554,218085.54699999996,59.373995684954664,24.0
49,115.5766909097035,59.486694604704724,218237.433,59.373995684954664,24.0
50,115.4629593483412,59.380369396148474,218005.314,59.373995684954664,18.0
51,115.4404520308158,59.338655129158894,217968.10700000002,59.373995684954664,19.0
52,115.50430001212831,59.38122188356332,218022.83200000002,59.338655129158894,13.0
53,115.3934297594229,59.31919209516248,217949.587,59.338655129158894,18.0
54,115.42261698318067,59.34837837126503,218023.839,59.31919209516248,24.0
55,115.44635822209099,59.38139097789038,218111.42599999998,59.31919209516248,24.0
56,115.41205169168492,59.3206068054555,218048.147,59.31919209516248,10.0
57,115.42124353771854,59.34264580489681,217978.787,59.31919209516248,15.0
58,115.36443853276876,59.27802933205423,217958.705,59.31919209516248,21.0
59,115.32085369976134,59.24998129367167,217963.297,59.27802933205423,12.0
60,115.40197727859702,59.31713631153487,218001.009,59.24998129367167,16.0
61,115.36259338672684,59.288593087781976,217957.767,59.24998129367167,16.0
62,115.26879670121684,59.20062195174245,218169.93,59.24998129367167,15.0
63,115.46068265712984,59.366823289545266,218333.05,59.20062195174245,19.0
64,115.27633143111281,59.2301400172996,218449.831,59.20062195174245,23.0
65,115.27512358691122,59.21753730792981,218198.085,59.20062195174245,18.0
66,115.37501924001843,59.28637854685838,218213.457,59.20062195174245,20.0
67,115.28405909022746,59.22727296359733,218321.976,59.20062195174245,21.0
68,115.32226639271553,59.26795572597048,218273.606,59.20062195174245,23.0
69,115.33392650663315,59.26499447983593,218248.807,59.20062195174245,19.0
70,115.21423647681218,59.161116399037496,218107.13400000002,59.20062195174245,21.0
71,115.22018092248997,59.20535104255799,217988.491,59.161116399037496,18.0
72,115.2450799462882,59.19449022741752,218242.043,59.161116399037496,18.0
73,115.4057492591558,59.3629021005778,218284.84,59.161116399037496,18.0
74,115.3237082317447,59.22666773290538,218158.891,59.161116399037496,15.0
75,115.27707376004038,59.22298904318038,218212.013,59.161116399037496,17.0
76,115.21470246685875,59.15325711871053,218268.867,59.161116399037496,20.0
77,115.14360811436846,59.07033331951325,218245.978,59.15325711871053,14.0
78,115.23089001698106,59.142400089658956,218331.30800000002,59.07033331951325,23.0
79,115.18620580786175,59.11576259783094,218339.295,59.07033331951325,16.0
80,115.21110939953736,59.12091832438949,218444.69199999998,59.07033331951325,21.0
81,115.19103238290919,59.138626879064546,218389.66799999998,59.07033331951325,25.0
82,115.17489111423674,59.101102339892186,218319.596,59.07033331951325,20.0
83,115.1638613598806,59.062567320816854,218190.26799999998,59.07033331951325,20.0
84,115.10082146073776,58.985658506941895,218068.24699999997,59.062567320816854,21.0
85,115.11140622202294,58.98791548808876,218197.804,58.985658506941895,20.0
86,115.07478905212423,58.966687656468245,218389.98500000002,58.985658506941895,20.0
87,115.13319814852659,58.99741571528686,218371.213,58.966687656468245,19.0
88,115.35880961105312,59.28287063234191,218478.411,58.966687656468245,23.0
89,115.13916687820694,59.06478992315647,218742.536,58.966687656468245,26.0
90,115.0614702930885,58.95829377773203,218417.61,58.966687656468245,12.0
91,115.14884546184533,59.05006362455955,218572.05599999998,58.95829377773203,16.0
92,115.12000398755704,59.00238214617914,218432.41299999997,58.95829377773203,18.0
93,115.1538415237122,59.06161622567398,218673.275,58.95829377773203,25.0
94,115.07383139381821,58.974169470720554,218423.805,58.95829377773203,13.0
95,115.16524747857153,59.046351486515626,218754.14500000002,58.95829377773203,28.0
96,115.04426051308252,58.95153827077545,218440.61400000003,58.95829377773203,16.0
97,115.11773054662807,59.0130164296426,218518.968,58.95153827077545,12.0
98,115.08366094620952,58.991594460845576,218470.618,58.95153827077545,24.0
99,115.09552648862292,58.96009000419013,218468.672,58.95153827077545,17.0
100,115.06268515089366,58.97520175169442,218534.296,58.95153827077545,14.0
101,115.05797383842766,58.955868614268,218400.856,58.95153827077545,19.0
102,115.03759498142624,58.94239366930327,218419.469,58.95153827077545,13.0
103,115.0823707086954,58.99730656000215,218494.80200000003,58.94239366930327,21.0
104,115.04965978696504,58.97593214564006,218585.25399999996,58.94239366930327,13.0
105,115.06622493705004,58.94682463369452,218616.51,58.94239366930327,21.0
106,115.09775475670298,59.01512410154814,218602.094,58.94239366930327,12.0
107,115.15683240366,59.05885256835569,218638.02,58.94239366930327,23.0
108,115.13597383034143,59.01800779868758,218619.752,58.94239366930327,19.0
109,115.03875936547728,58.91810707178597,218372.13400000002,58.94239366930327,11.0
110,115.0314329087091,58.90220037152477,218293.67,58.91810707178597,9.0
111,115.01963182116236,58.928545883602624,218275.69999999998,58.90220037152477,30.0
112,115.02246706904157,58.886726708641476,218265.584,58.90220037152477,18.0
113,115.1842381006464,59.050937590038764,218306.927,58.886726708641476,27.0
114,115.0284502250418,58.88310767869307,218191.684,58.886726708641476,18.0
115,115.1793424410809,59.02758840924574,218157.342,58.88310767869307,24.0
116,114.96611476165273,58.801726951913984,218140.61700000003,58.88310767869307,11.0
117,114.99188150817454,58.83954352110778,218317.276,58.801726951913984,15.0
118,114.9410073922941,58.77365665262606,218182.74999999997,58.801726951913984,10.0
119,115.07937458801966,58.902350655130334,218361.67500000002,58.77365665262606,23.0
120,115.02260403702995,58.84389577997658,218282.504,58.77365665262606,21.0
121,114.99690222056141,58.824499831293,218346.88099999996,58.77365665262606,16.0
122,114.94914548424167,58.789235064395655,218217.94999999998,58.77365665262606,15.0
123,115.00016778045683,58.85172134047371,218400.864,58.77365665262606,16.0
124,114.93790167345418,58.77130794100494,218169.72899999996,58.77365665262606,14.0
125,115.00377418160166,58.842598126448785,218326.204,58.77130794100494,28.0
126,114.91248687100133,58.72834705029343,218213.808,58.77130794100494,15.0
127,114.95463003687804,58.76883621067773,218189.759,58.72834705029343,14.0
128,114.94988137567537,58.7552607838424,218190.653,58.72834705029343,20.0
129,114.96033121240855,58.773375719728996,218268.063,58.72834705029343,12.0
130,114.94518336232139,58.74912505328364,218319.45099999997,58.72834705029343,19.0
131,115.26040634616092,59.07782356910599,218534.17,58.72834705029343,23.0
132,114.89997824417733,58.70681447519633,218364.914,58.72834705029343,15.0
133,114.90634094835886,58.71512730079269,218612.61099999998,58.70681447519633,25.0
