,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
454,119502,484285,15071.0,119501.749~484285.284~afval_cluster~119501.749|484285.284,498280.0,52689.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b9390979-affb-b7a8-8bf6-f1c133e43bcf,False,357.0,afval_cluster,119501.749|484285.284,"['119501.749', '484285.284', 'afval_cluster', '119501.749|484285.284']",119502.0,484285.0,['Rest:1'],['Rest:5 m3'],Van Tuyll van Serooskerkenplein,K48f,K48,K,1,0,0,0,0,1,True,999.0
455,119299,481960,475289.0,119298.878~481960.226~afval_cluster~119298.878|481960.226,958757.0,628.0,2020-04-01 13:57:12,2020-04-01 13:57:12,68ad6b37-354b-978f-6a71-074789eeb863,False,357.0,afval_cluster,119298.878|481960.226,"['119298.878', '481960.226', 'afval_cluster', '119298.878|481960.226']",119299.0,481960.0,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:4 m3']",Soetendaal,K90d,K90,K,4,0,0,0,0,4,True,999.0
456,119585,486257,142017.0,119584.819~486257.265~afval_cluster~119584.819|486257.265,625298.0,61396.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ee005b31-40d8-1f7e-af0d-3a4725d84f55,False,357.0,afval_cluster,119584.819|486257.265,"['119584.819', '486257.265', 'afval_cluster', '119584.819|486257.265']",119585.0,486257.0,"['Papier:3', 'Plastic:1']","['Papier:15 m3', 'Plastic:5 m3']",Nicolaas Beetsstraat,E20b,E20,E,4,0,0,0,0,4,True,999.0
457,119939,488563,387863.0,119938.675~488562.951~afval_cluster~119938.675|488562.951,871290.0,25926.0,2020-04-01 13:57:12,2020-04-01 13:57:12,685bab9a-c7be-0bd2-2ad7-db7c88caf160,False,357.0,afval_cluster,119938.675|488562.951,"['119938.675', '488562.951', 'afval_cluster', '119938.675|488562.951']",119939.0,488563.0,['Rest:1'],['Rest:5 m3'],Cliffordstraat,E14d,E14,E,0,0,1,0,0,1,True,999.0
458,119796,487755,140046.0,119796.040~487755.138~afval_cluster~119796.040|487755.138,623328.0,101386.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b826fafb-732a-a1c3-d4ad-e0eda30f6faa,False,357.0,afval_cluster,119796.040|487755.138,"['119796.040', '487755.138', 'afval_cluster', '119796.040|487755.138']",119796.0,487755.0,"['Rest:2', 'Glas:1', 'Plastic:1']","['Rest:10 m3', 'Glas:4 m3', 'Plastic:4 m3']",Visseringstraat,E14f,E14,E,1,1,2,0,0,4,True,999.0
459,119773,484028,406730.0,119773.198~484027.739~afval_cluster~119773.198|484027.739,890165.0,88421.0,2020-04-01 13:57:12,2020-04-01 13:57:12,43df5fe1-99fc-17b6-49d7-141dbb79f5f2,False,357.0,afval_cluster,119773.198|484027.739,"['119773.198', '484027.739', 'afval_cluster', '119773.198|484027.739']",119773.0,484028.0,"['Rest:2', 'Papier:1']","['Rest:10 m3', 'Papier:4 m3']",Henriëtte Bosmansstraat,K59a,K59,K,2,1,0,0,0,3,True,999.0
460,120256,488450,48745.0,120255.823~488449.584~afval_cluster~120255.823|488449.584,531975.0,68239.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ad070eff-151c-e809-429c-f27f6bb3581f,False,357.0,afval_cluster,120255.823|488449.584,"['120255.823', '488449.584', 'afval_cluster', '120255.823|488449.584']",120256.0,488450.0,['Rest:1'],['Rest:5 m3'],De Wittenkade,E14b,E14,E,1,0,0,0,0,1,True,999.0
461,124042,486161,71752.0,124041.946~486160.770~afval_cluster~124041.946|486160.770,554996.0,17283.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f44bc5a1-917f-f330-d75d-7979ebcf23e4,False,357.0,afval_cluster,124041.946|486160.770,"['124041.946', '486160.770', 'afval_cluster', '124041.946|486160.770']",124042.0,486161.0,"['Rest:2', 'Glas:1']","['Rest:9.38 m3', 'Glas:4.69 m3']",Eerste Atjehstraat,M31b,M31,M,3,0,0,0,0,3,True,999.0
462,123388,485632,301264.0,123388.296~485631.862~afval_cluster~123388.296|485631.862,784628.0,11795.0,2020-04-01 13:57:12,2020-04-01 13:57:12,531cae00-2776-8cc6-f011-1d0951ed6ea8,False,357.0,afval_cluster,123388.296|485631.862,"['123388.296', '485631.862', 'afval_cluster', '123388.296|485631.862']",123388.0,485632.0,['Rest:2'],['Rest:12 m3'],Vrolikstraat,M28c,M28,M,1,0,1,0,0,2,True,999.0
463,123052,483537,458997.0,123051.560~483537.002~afval_cluster~123051.560|483537.002,942459.0,25282.0,2020-04-01 13:57:12,2020-04-01 13:57:12,09357782-3139-39d0-6713-e7116a766083,False,357.0,afval_cluster,123051.560|483537.002,"['123051.560', '483537.002', 'afval_cluster', '123051.560|483537.002']",123052.0,483537.0,['Rest:2'],['Rest:9.38 m3'],Amstelvlietstraat,M58g,M58,M,1,1,0,0,0,2,True,999.0
