,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
252,124047,486875,663761.0,15188.0,afval_cluster,124047.190|486874.665,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:3 m3']",Funenpark,A09f,A09,A,4,0,0,0,0,4,True,999.0
253,119353,485119,750974.0,139507.0,afval_cluster,119352.994|485119.432,['Rest:2'],['Rest:8 m3'],Valeriusplein,K46a,K46,K,1,0,0,1,0,2,True,999.0
254,119438,482309,539987.0,136909.0,afval_cluster,119438.178|482309.350,['Rest:2'],['Rest:8 m3'],Noordhollandstraat,K90d,K90,K,1,0,1,0,0,2,True,999.0
255,124984,486315,665658.0,5977.0,afval_cluster,124983.854|486315.323,"['Papier:1', 'Plastic:1']","['Papier:5 m3', 'Plastic:5 m3']",Kramatweg,M32a,M32,M,1,0,1,0,0,2,True,999.0
256,124283,484651,782510.0,7233.0,afval_cluster,124282.742|484650.609,['Rest:2'],['Rest:10 m3'],Ferrarisstraat,M55h,M55,M,2,0,0,0,0,2,True,999.0
257,120424,484947,855889.0,166059.0,afval_cluster,120423.682|484947.454,"['Rest:2', 'Glas:1', 'Papier:1', 'Textiel:1']","['Rest:10 m3', 'Glas:5 m3', 'Papier:5 m3', 'Textiel:3 m3']",Joh.M. Coenenstraat,K47g,K47,K,4,1,0,0,0,5,True,999.0
258,121238,484750,855818.0,67020.0,afval_cluster,121237.880|484750.254,['Rest:1'],['Rest:5 m3'],Ferdinand Bolstraat,K25c,K25,K,1,0,0,0,0,1,False,1.0
259,121699,483885,553313.0,131202.0,afval_cluster,121699.210|483884.597,['Rest:2'],['Rest:8 m3'],Bernissestraat,K54d,K54,K,1,0,0,1,0,2,True,999.0
260,118958,482221,648346.0,99192.0,afval_cluster,118958.394|482220.635,['Rest:2'],['Rest:8 m3'],Bolestein,K90d,K90,K,2,0,0,0,0,2,True,999.0
261,123859,487878,690347.0,14351.0,afval_cluster,123859.120|487877.641,['Rest:1'],['Rest:5 m3'],Javakade,M33c,M33,M,1,0,0,0,0,1,True,999.0
262,127815,486260,705934.0,99059.0,afval_cluster,127815.160|486260.240,"['Rest:1', 'Glas:1', 'Plastic:1']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Plastic:4.69 m3']",Hooivletstraat,M35a,M35,M,3,0,0,0,0,3,True,999.0
263,118831,484609,932252.0,162704.0,afval_cluster,118830.727|484608.874,['Rest:1'],['Rest:5 m3'],Karperstraat,K45b,K45,K,1,0,0,0,0,1,True,999.0
264,120750,483125,567379.0,31754.0,afval_cluster,120749.608|483124.848,['Textiel:1'],['Textiel:3 m3'],Antonio Vivaldistraat,K23e,K23,K,0,0,1,0,0,1,True,999.0
